group_name,folder_name,folder_value
supershorts,ASK,-2
writers-tique,ASK,-2
zipperhuskyart,ASK,-2
digital-artists,ASK,-2
cosplay--world,ASK,-2
cosplay-gen,ASK,-2
propmakers,ASK,-2
gocrazycosplay,ASK,-2
cosplayonline,ASK,-2
firearmart,ASK,-2
big-ass-guns,ASK,-2
customizersalliance,ASK,-2
costumemovies,ASK,-2
propmakersunite,ASK,-2
gunrunnerz,ASK,-2
cosprops,ASK,-2
epic-weapons,ASK,-2
nerf-modderz,ASK,-2
thepmc,ASK,-2
nerfarmory,ASK,-2
collectandgivepoints,ASK,-2
comms-and-requests,ASK,-2
dadvertise,ASK,-2
adoptraffle,ASK,-2
contests-and-raffles,ASK,-2
entertheraffle,ASK,-2
contestsandgiveaways,ASK,-2
giveawaysandcontests,ASK,-2
contest-office,ASK,-2
contestsforall,ASK,-2
thecommissioncatalog,ASK,-2
contests-and-more,ASK,-2
contest-finder,ASK,-2
thecontestclub,ASK,-2
eevee-peninsula,ASK,-2
proving----grounds,ASK,-2
flashfictionmonth,ASK,-2
pokemon2fakemon4all,ASK,-2
pokemon-makers,ASK,-2
pokemon-world-rpg,ASK,-2
animeloverclub,ASK,-2
pokemonxyfriendcodes,ASK,-2
pokemonisamazing,ASK,-2
pkmn-revolution,ASK,-2
poke-transformation,ASK,-2
pokemon-journeys,ASK,-2
digital-concept,ASK,-2
everything-digital,ASK,-2
tradigitalart-club,ASK,-2
everythingoriginal,ASK,-2
original-works,ASK,-2
tumblrfamous,ASK,-2
rising-artists,ASK,-2
idraw4all,ASK,-2
selftaughtartist,ASK,-2
do-it-then-show-it,ASK,-2
submityourart,ASK,-2
smiley-3,ASK,-2
wewantcommishes,ASK,-2
yes2all,ASK,-2
art-love,ASK,-2
club-for-everything,ASK,-2
deviantartsupporters,ASK,-2
any-talent-expertise,ASK,-2
freedomartists,ASK,-2
anything-u-want,ASK,-2
digital-color,ASK,-2
digital-drawers,ASK,-2
classic-vg-club,ASK,-2
cartoon-obsessions,ASK,-2
love-to-all-oc,ASK,-2
monster-creature,ASK,-2
ocsuniverse,ASK,-2
all-the-characters,ASK,-2
ocs-world,ASK,-2
oc-corner,ASK,-2
occentral,ASK,-2
the-oc-lounge,ASK,-2
fantasy-characters,ASK,-2
pkmn-sun-and-moon,ASK,-2
orginalcharacters,ASK,-2
fantasy-ocs,ASK,-2
fantasylovers,ASK,-2
fantasycreations,ASK,-2
oc-makers-club,ASK,-2
club-of-ocs,ASK,-2
the-random-fandoms,ASK,-2
aspiringanimeartists,ASK,-2
animeandmangaart,ASK,-2
anime-manga-forever,ASK,-2
manga-animeart,ASK,-2
fandomocs,ASK,-2
digital-anime-united,ASK,-2
x-anime-art-x,ASK,-2
animecity,ASK,-2
animelovers,ASK,-2
pokemon-anime-fans,ASK,-2
thepokemonguild,ASK,-2
pokemon-league9708,ASK,-2
pokemon-sonic-club,ASK,-2
pokemon-b2w2,ASK,-2
fans-of-mewtwo,ASK,-2
pokemon-rp-haven,ASK,-2
pokemonfurries,ASK,-2
pokemoncomicsgalore,ASK,-2
pika-people,ASK,-2
pkmnmixersclub,ASK,-2
pokemon-community,ASK,-2
pokemonfever,ASK,-2
the-pikaxbun-club,ASK,-2
pokemongeneration1,ASK,-2
pacshelter,ASK,-2
pikaclub,ASK,-2
pokemonbreeders,ASK,-2
pokewear,ASK,-2
fakemoncompany,ASK,-2
global-poke-trade,ASK,-2
pokemonbases,ASK,-2
the-pokecommunity,ASK,-2
fakemon-creators,ASK,-2
pokemon-fanart,ASK,-2
pokemon-generation-v,ASK,-2
pokemon-spriters,ASK,-2
pikalovers,ASK,-2
pokemon102adopt,ASK,-2
pokemon-creativity,ASK,-2
pokeballz-united,ASK,-2
pokemon-gts,ASK,-2
pokemonfusiongallery,ASK,-2
thepokemonregion,ASK,-2
pokemon-rp-stories,ASK,-2
all-pokemon-fans,ASK,-2
pokemonmuseumofart,ASK,-2
pokemon-rp-saga,ASK,-2
pokemon-mysterys,ASK,-2
havaipokemon,ASK,-2
all-about-pokemon,ASK,-2
pokemon-dungeon-club,ASK,-2
homestuck-n-pokemon,ASK,-2
all-pokemon-comics,ASK,-2
pokemon-tf-project,ASK,-2
pokedex-collection,ASK,-2
the-shiny-breeder,ASK,-2
pokemontfsforever,ASK,-2
everythingpokemans,ASK,-2
pokemoninserts,ASK,-2
fakemonuniverse,ASK,-2
pokeartist-guild,ASK,-2
pokemon-xy,ASK,-2
betapokemon,ASK,-2
pokemon-suomi,ASK,-2
sonic-pokemon-fans,ASK,-2
fakemaniacs,ASK,-2
pkmn-unite,ASK,-2
askapokemon,ASK,-2
pikachuobssessers,ASK,-2
just-a-pokemon,ASK,-2
kawaii-pokemon-x3,ASK,-2
pokemon-150,ASK,-2
allpokemonfansunited,ASK,-2
poke-characters,ASK,-2
pokemoncardresources,ASK,-2
pokeartbeginner,ASK,-2
lets-team-up-pokemon,ASK,-2
pokemon-federation,ASK,-2
souleater-pokemon,ASK,-2
pokemon-101,ASK,-2
pokemon-palooza,ASK,-2
pokemon-fakemonart,ASK,-2
pokemon-heroine-love,ASK,-2
pokemonlovecraft,ASK,-2
pokemon-nightmares,ASK,-2
pokemon-literature,ASK,-2
lavender-town,ASK,-2
pokemonloversforever,ASK,-2
my-pokemon,ASK,-2
faith-fanclub,ASK,-2
pokemon-jli,ASK,-2
pokemon-collections,ASK,-2
pokemon-commissions,ASK,-2
pokemonsonictower,ASK,-2
pokemon-request,ASK,-2
pokemonranger-fc,ASK,-2
pokemon-lostsilver,ASK,-2
blacknwhite-fanclub,ASK,-2
pokemon-realm,ASK,-2
traditional-pokemon,ASK,-2
rosespokemonadopts,ASK,-2
darkrelmpokemon,ASK,-2
pokemonfakes,ASK,-2
pokemon-generation,ASK,-2
da-mewtwo-department,ASK,-2
7genfanclub,ASK,-2
pokemon-ultralovers,ASK,-2
pkmnsunmoon,ASK,-2
gogo-pokemon,ASK,-2
firetypepokemonfans,ASK,-2
pokemon-battle-club,ASK,-2
giftedpokemonartists,ASK,-2
pokemon-prime,ASK,-2
crliterature,ASK,-2
cutecritters,ASK,-2
anthro-creation,ASK,-2
anthro-gratia-artis,ASK,-2
this-undertale,ASK,-2
theanimeshow,ASK,-2
furries-for-life,ASK,-2
artistunityclub,ASK,-2
anthro-art-alley,ASK,-2
any-oc-stuff,ASK,-2
fantastical-oc,ASK,-2
quality-anthros,ASK,-2
we-love-your-oc,ASK,-2
ocsandme,ASK,-2
oc-creatures-tavern,ASK,-2
ocs-forever,ASK,-2
anthro-fans-forever,ASK,-2
axls-anthro-gang,ASK,-2
scifi-anthro,ASK,-2
united-da-artists,ASK,-2
artistsrevealed,ASK,-2
fantendoinc,ASK,-2
fanart-lovers,ASK,-2
da-talent,ASK,-2
beginners-workshop,ASK,-2
digital-art-group,ASK,-2
artydelights,ASK,-2
digitalartistsftw,ASK,-2
digitall-soul,ASK,-2
world-gallery,ASK,-2
deviantartworldwide,ASK,-2
liveyourlifebfree,ASK,-2
all-deviantarts-art,ASK,-2
anime-manga-creation,ASK,-2
art-lat,ASK,-2
paintingdigital,ASK,-2
digitalmixedmedia,ASK,-2
all-art-is-great,ASK,-2
get-watchers,ASK,-2
artfavorite,ASK,-2
allartgallery,ASK,-2
accept-all-art,ASK,-2
digital-art-draw,ASK,-2
allartartists,ASK,-2
art-zone,ASK,-2
findmoreart,ASK,-2
the-art-group,ASK,-2
all-of-art,ASK,-2
all-deviants,ASK,-2
featureme,ASK,-2
aaa-art,ASK,-2
art-satisfaction,ASK,-2
all-artists,ASK,-2
thedigitalworldofart,ASK,-2
promoteart,ASK,-2
idigitalist,ASK,-2
supportallart,ASK,-2
fanartmatrix,ASK,-2
fanartistunited,ASK,-2
totalfanart,ASK,-2
artist-to-watchers,ASK,-2
fan-art-lovers-101,ASK,-2
the-world-of-fan-art,ASK,-2
fanartclassroom,ASK,-2
fans4ever,ASK,-2
nintendo-fc,ASK,-2
allart-r-us,ASK,-2
fanartsociety,ASK,-2
randomarttogether,ASK,-2
fanart-united,ASK,-2
animemanga-fanart,ASK,-2
fanart-forever,ASK,-2
fanart-are-art-too,ASK,-2
adopts-n-fanart,ASK,-2
national-fanart,ASK,-2
fanart-nation,ASK,-2
fanart-base,ASK,-2
fanart-fc,ASK,-2
everyonegetsfanart,ASK,-2
group-of-fanart,ASK,-2
fanart-lover,ASK,-2
artaroundthegalaxy,ASK,-2
art-of-all-kinds,ASK,-2
all-media-art,ASK,-2
fan-art-world,ASK,-2
everything-isart,ASK,-2
allartunited,ASK,-2
helpingart,ASK,-2
loveforyoungartists,ASK,-2
any-art-is-welcomed,ASK,-2
justanartgroup,ASK,-2
your-art-here,ASK,-2
