group_name,folder_name,folder_value
nerfarmory,UNUSED,-1
collectandgivepoints,UNUSED,-1
comms-and-requests,Artwork,50207091
dadvertise,UNUSED,-1
adoptraffle,"Humanoid, Gijinka, Anthro, Kemonomimi",54874960
contests-and-raffles,UNUSED,-1
entertheraffle,UNUSED,-1
contestsandgiveaways,UNUSED,-1
giveawaysandcontests,UNUSED,-1
contest-office,UNUSED,-1
contestsforall,UNUSED,-1
thecommissioncatalog,UNUSED,-1
contests-and-more,UNUSED,-1
contest-finder,UNUSED,-1
thecontestclub,UNUSED,-1
eevee-peninsula,UNUSED,-1
proving----grounds,UNUSED,-1
flashfictionmonth,UNUSED,-1
pokemon2fakemon4all,UNUSED,-1
pokemon-makers,UNUSED,-1
pokemon-world-rpg,UNUSED,-1
animeloverclub,UNUSED,-1
pokemonxyfriendcodes,UNUSED,-1
pokemonisamazing,UNUSED,-1
pkmn-revolution,UNUSED,-1
poke-transformation,UNUSED,-1
pokemon-journeys,UNUSED,-1
digital-concept,Digital Art,58305644
everything-digital,Anthro and gijinka,42733167
tradigitalart-club,Digital Art,31599394
everythingoriginal,OC-Digital 4,61954298
original-works,"Anthro, Animal arts and fantastic animal art",27398282
tumblrfamous,DIGITAL ART,27305078
rising-artists,Digital Art 17,61875015
idraw4all,Original Art 2,47547414
selftaughtartist,Digital Art 2,55282702
do-it-then-show-it,Other digital art,48014903
submityourart,Miscellaneous,43762476
smiley-3,OCs,49613095
wewantcommishes,Digital Only,40835498
yes2all,Digital ART II,60111930
art-love,Digital Art,25307347
deviantartsupporters,- DIGITAL ART -,60349293
club-for-everything,OCs,27050277
any-talent-expertise,Digital Art,25288038
freedomartists,Digital Art 2,36812946
anything-u-want,Featured 4,61252086
digital-color,Drawings,26701305
digital-drawers,Digital Paintings - 2,56065623
classic-vg-club,UNUSED,-1
cartoon-obsessions,UNUSED,-1
love-to-all-oc,Anthro,35276147
monster-creature,Featured 4,55609861
ocsuniverse,Original Characters OC's 3,59914428
all-the-characters,Illustrations 2,57190483
ocs-world,OC Males 3,55168815
oc-corner,Furry OCs 3,61204610
occentral,Male OCs 2,40456989
the-oc-lounge,Furry OC's 2,49886443
fantasy-characters,Other Sci-Fi - Drawings and Paintings,26261706
pkmn-sun-and-moon,UNUSED,-1
orginalcharacters,Anthro Furry,31051978
fantasy-ocs,Digital,28181728
fantasylovers,OC's OCxCanon,45316808
fantasycreations,Featured,41684140
oc-makers-club,Anthropomorphic,12030125
club-of-ocs,Animal OCs and Groups,47142334
the-random-fandoms,UNUSED,-1
aspiringanimeartists,UNUSED,-1
animeandmangaart,UNUSED,-1
anime-manga-forever,UNUSED,-1
manga-animeart,UNUSED,-1
fandomocs,UNUSED,-1
digital-anime-united,UNUSED,-1
x-anime-art-x,UNUSED,-1
animecity,UNUSED,-1
animelovers,UNUSED,-1
pokemon-anime-fans,UNUSED,-1
thepokemonguild,UNUSED,-1
pokemon-league9708,UNUSED,-1
pokemon-sonic-club,UNUSED,-1
pokemon-b2w2,UNUSED,-1
fans-of-mewtwo,UNUSED,-1
pokemon-rp-haven,UNUSED,-1
pokemonfurries,UNUSED,-1
