group_name,folder_name,folder_value
digital-artists,UNUSED,-1
cosplay--world,UNUSED,-1
cosplay-gen,UNUSED,-1
propmakers,UNUSED,-1
cosplayonline,UNUSED,-1
big-ass-guns,UNUSED,-1
firearmart,UNUSED,-1
gocrazycosplay,UNUSED,-1
costumemovies,UNUSED,-1
customizersalliance,UNUSED,-1
propmakersunite,UNUSED,-1
gunrunnerz,UNUSED,-1
cosprops,UNUSED,-1
epic-weapons,UNUSED,-1
nerf-modderz,UNUSED,-1
thepmc,UNUSED,-1
nerfarmory,UNUSED,-1
collectandgivepoints,Digital Art,40779432
comms-and-requests,Artwork 2,53783009
dadvertise,UNUSED,-1
adoptraffle,"Ferals, Quads, Avians, etc.",54874966
contests-and-raffles,Advertisements,56249227
entertheraffle,Featured,36911037
contestsandgiveaways,UNUSED,-1
giveawaysandcontests,UNUSED,-1
contest-office,UNUSED,-1
contestsforall,Other,46424643
thecommissioncatalog,Featured,55123944
contests-and-more,UNUSED,-1
contest-finder,UNUSED,-1
thecontestclub,Member's Art,36925598
eevee-peninsula,Origin Meadow -Eevee-,60068294
proving----grounds,UNUSED,-1
flashfictionmonth,UNUSED,-1
pokemon2fakemon4all,normal fakemon,38682146
pokemon-makers,Other Things,39318245
pokemon-world-rpg,Pokemon,53647708
animeloverclub,Fan Arts 3,59771005
pokemonxyfriendcodes,Featured,46617386
pokemonisamazing,Pokemon 1st gen,39238250
pkmn-revolution,Normal,6387369
poke-transformation,Generation One,53953612
pokemon-journeys,Miscellaneous,31515646
digital-concept,Fan Art,47202311
everything-digital,OC - Fan characters or video game oc,42733176
tradigitalart-club,Digital Art,31599394
everythingoriginal,OC-Digital 4,61954298
original-works,"Anthro, Animal arts and fantastic animal art",27398282
tumblrfamous,DIGITAL ART,27305078
rising-artists,Fan Art 8,61381016
idraw4all,Fan Art 2,47547417
selftaughtartist,Fan Art,55282743
do-it-then-show-it,Other digital art,48014903
submityourart,ASK,-2
smiley-3,ASK,-2
wewantcommishes,Digital Only,40835498
yes2all,Fan ART 2,61718926
deviantartsupporters,- DIGITAL ART -,60349293
club-for-everything,Pokemon,26900650
art-love,"Manga Anime, Fan Art",25985046
any-talent-expertise,FanArt,25288042
anything-u-want,Featured 4,61252086
freedomartists,Digital Art 2,36812946
digital-color,Pokemon,28258290
digital-drawers,NEW - Digital Coloring,58565481
classic-vg-club,Pokemon,33537074
cartoon-obsessions,2017 SUBMISSIONS,61697951
love-to-all-oc,Male OC,35276145
monster-creature,Featured 4,55609861
ocsuniverse,Original Characters OC's 3,59914428
all-the-characters,Illustrations 2,57190483
ocs-world,OC Males 3,55168815
oc-corner,Pokemon 3,61204611
occentral,Male OCs 2,40456989
the-oc-lounge,Furry OC's 2,49886443
fantasy-characters,Games - Drawings and Paintings,25110517
pkmn-sun-and-moon,Pokemon,58026304
orginalcharacters,OC DIGITAL ART,61715259
fantasy-ocs,Digital,28181728
fantasylovers,OC's OCxCanon,45316808
fantasycreations,Featured,41684140
oc-makers-club,OC Fanart,12114534
club-of-ocs,ASK,-2
the-random-fandoms,Pokemon,52213523
aspiringanimeartists,Males From Anime And Manga - Colored,28978867
animeandmangaart,Original Digital,27138632
anime-manga-forever,Flash Art,26102548
manga-animeart,Other2,53448080
fandomocs,Pokemon,24444892
digital-anime-united,2017,61770356
x-anime-art-x,Featured,24148632
animecity,Digital 2,44300129
animelovers,ASK,-2
pokemon-anime-fans,Original Season,54836175
thepokemonguild,Gen I,51216711
pokemon-league9708,Featured,37355215
pokemon-sonic-club,Pokemon Center...to sort,55228501
pokemon-b2w2,Pokemon,36595926
fans-of-mewtwo,Featured,35867971
pokemon-rp-haven,Digital Art,34418840
pokemonfurries,Featured,34289715
pokemoncomicsgalore,One Shots,34651857
pika-people,Featured,32116012
pkmnmixersclub,Featured,26630383
pokemon-community,PKMN Oc's,25831412
pokemonfever,Gen 1,41914155
the-pikaxbun-club,Featured,25411803
pokemongeneration1,Featured,25409073
pacshelter,Pokemon,25305585
pikaclub,Featured,25182640
pokemonbreeders,Digital,43379794
pokewear,Fan art,25167184
fakemoncompany,Digital Artworks 2,48521841
global-poke-trade,1st Form,33740476
pokemonbases,Pokemon Bases,25670134
the-pokecommunity,Featured,24580582
fakemon-creators,Normal,24514626
pokemon-fanart,Featured,24487333
pokemon-generation-v,FanArt,24450548
pokemon-spriters,Featured,30692070
pikalovers,Featured,24112910
pokemon102adopt,Featured,24111236
pokemon-creativity,Digital Art,44091275
pokeballz-united,Digital-Art,40837564
pokemon-gts,Pokemon,53051167
pokemonfusiongallery,1st Gen Fusion,55389864
thepokemonregion,Generation 1 Kanto Pokemon,57955465
pokemon-rp-stories,Other Pokemon only stuff,48606209
all-pokemon-fans,Generation 1 game stuff,50341421
pokemon-rp-saga,Featured,54624472
pokemonmuseumofart,Featured,49829655
pokemon-dungeon-club,Other Pokemon art.,47931355
all-about-pokemon,1st Generation,47455584
havaipokemon,Fanart,49112343
pokemon-mysterys,Featured,46538657
pokemon-tf-project,Featured,45466761
pokemontfsforever,Featured,47313435
the-shiny-breeder,Featured,47693557
all-pokemon-comics,OCs,43625900
pokedex-collection,Member Submission,45448150
homestuck-n-pokemon,pokemon,46917495
everythingpokemans,Pokemon Deviations,48440828
fakemonuniverse,Featured,44032028
pokemoninserts,Featured,43416481
pokeartist-guild,Pokemon Digital Art,43484434
pokemon-xy,Misc.,41544000
betapokemon,Featured,40366230
pokemon-suomi,Digitaalinen taide,32094448
sonic-pokemon-fans,Pokemon.,40853141
pikachuobssessers,other pokemon,35387861
just-a-pokemon,Featured,38057730
pkmn-unite,Gen. 1,40783293
fakemaniacs,Normal,40969074
askapokemon,Featured,35128679
kawaii-pokemon-x3,gen 1,38766244
pokemon-150,Normal,37148647
allpokemonfansunited,Kanto Pokemon,37993348
poke-characters,trainer's pokemon,35284124
pokeartbeginner,Submit Art Here,36719953
pokemoncardresources,Artwork,29634803
lets-team-up-pokemon,Fanart,32404780
pokemon-federation,Fan Art,35242293
souleater-pokemon,Featured,33867634
pokemon-101,Kanto,45600195
pokemon-heroine-love,Featured,31485064
pokemon-palooza,Generation I Pokemon,33033427
pokemon-fakemonart,kanto pokemon,31963529
pokemonlovecraft,Anything Pokemon Related,28639711
pokemon-nightmares,Featured,28682573
pokemon-literature,Comics,27780790
lavender-town,Pics,27770560
pokemonloversforever,Kanto,39540542
my-pokemon,Fan Art,26667018
faith-fanclub,Featured,27012686
pokemon-jli,Pokemon- Every Region,26148180
pokemon-collections,Featured,29074228
pokemon-request,generation 1,28544442
pokemonsonictower,Pokemon,28143481
pokemon-commissions,Examples,28769807
pokemonranger-fc,OCs,31358423
pokemon-lostsilver,Other,31939792
pokemon-realm,OC's,40179581
traditional-pokemon,Generation I,30078395
blacknwhite-fanclub,Misc.,26873246
darkrelmpokemon,Other-Types of Pokemon,25754203
rosespokemonadopts,Featured,25868348
pokemonfakes,Featured,24469871
pokemon-generation,Other Fanart,28150026
da-mewtwo-department,Featured,21816289
7genfanclub,7Gen Pokemons,58815948
pokemon-ultralovers,Poke drawings,58589694
pkmnsunmoon,Pokemon Fanart,58001570
gogo-pokemon,OC Pokemon,58828850
pokemon-prime,Generation I,46295216
giftedpokemonartists,Actual Pokemon,26158444
firetypepokemonfans,Fakemons and Pokefusion,25806543
pokemon-battle-club,single battles,26065982
crliterature,UNUSED,-1
cutecritters,Fan Art,28272475
anthro-creation,UNUSED,-1
anthro-gratia-artis,UNUSED,-1
this-undertale,UNUSED,-1
theanimeshow,Pokemon,51792249
furries-for-life,Male Furries Devious Folder,57891297
artistunityclub,Fan Art,57004254
anthro-art-alley,Neo Fanart,32122404
any-oc-stuff,pokemon OC,44549886
fantastical-oc,Males,56961735
quality-anthros,Featured,54321384
we-love-your-oc,UNUSED,-1
ocsandme,Male,50989391
oc-creatures-tavern,Featured,44594217
ocs-forever,Featured 4,43612127
