group_name,folder_name,folder_value
digital-artists,UNUSED,-1
cosplay--world,UNUSED,-1
cosplay-gen,UNUSED,-1
propmakers,UNUSED,-1
cosplayonline,UNUSED,-1
big-ass-guns,UNUSED,-1
firearmart,UNUSED,-1
gocrazycosplay,UNUSED,-1
costumemovies,UNUSED,-1
customizersalliance,UNUSED,-1
propmakersunite,UNUSED,-1
gunrunnerz,UNUSED,-1
cosprops,UNUSED,-1
epic-weapons,UNUSED,-1
nerf-modderz,UNUSED,-1
thepmc,UNUSED,-1
nerfarmory,UNUSED,-1
collectandgivepoints,UNUSED,-1
comms-and-requests,UNUSED,-1
dadvertise,UNUSED,-1
adoptraffle,UNUSED,-1
contests-and-raffles,UNUSED,-1
entertheraffle,UNUSED,-1
contestsandgiveaways,UNUSED,-1
giveawaysandcontests,UNUSED,-1
contest-office,UNUSED,-1
contestsforall,UNUSED,-1
thecommissioncatalog,Featured,55123944
contests-and-more,UNUSED,-1
contest-finder,UNUSED,-1
thecontestclub,UNUSED,-1
eevee-peninsula,UNUSED,-1
proving----grounds,UNUSED,-1
flashfictionmonth,ASK,-2
pokemon2fakemon4all,UNUSED,-1
pokemon-makers,UNUSED,-1
pokemon-world-rpg,UNUSED,-1
animeloverclub,UNUSED,-1
pokemonxyfriendcodes,UNUSED,-1
pokemonisamazing,UNUSED,-1
pkmn-revolution,UNUSED,-1
poke-transformation,UNUSED,-1
pokemon-journeys,UNUSED,-1
digital-concept,UNUSED,-1
everything-digital,UNUSED,-1
tradigitalart-club,UNUSED,-1
everythingoriginal,Literature,29901046
original-works,Featured,27325020
tumblrfamous,LITERATURE,27305089
rising-artists,Literature 2,62223304
idraw4all,UNUSED,-1
selftaughtartist,Literature and Poetry,55282749
do-it-then-show-it,Litterature,48014906
submityourart,Literature,43783829
smiley-3,UNUSED,-1
wewantcommishes,Featured,40834788
yes2all,Literature,57095191
deviantartsupporters,- LITERATURE -,29113802
club-for-everything,Literature,26893309
art-love,Literature,25985034
any-talent-expertise,Literature,25288033
anything-u-want,Litrature,47395794
freedomartists,Literature,25308078
digital-color,UNUSED,-1
digital-drawers,UNUSED,-1
classic-vg-club,UNUSED,-1
cartoon-obsessions,UNUSED,-1
love-to-all-oc,Literature- English only,42870060
monster-creature,UNUSED,-1
ocsuniverse,Escritos - Writings,26266537
all-the-characters,UNUSED,-1
ocs-world,OC Literature,35283498
oc-corner,Fanfiction or Literature,33670719
occentral,UNUSED,-1
the-oc-lounge,Literature,26081669
fantasy-characters,UNUSED,-1
pkmn-sun-and-moon,UNUSED,-1
orginalcharacters,Literature,31053294
fantasy-ocs,Literature,28182932
fantasylovers,UNUSED,-1
fantasycreations,Featured,41684140
oc-makers-club,UNUSED,-1
club-of-ocs,Literature,47142349
the-random-fandoms,UNUSED,-1
aspiringanimeartists,UNUSED,-1
animeandmangaart,UNUSED,-1
anime-manga-forever,UNUSED,-1
manga-animeart,UNUSED,-1
fandomocs,UNUSED,-1
digital-anime-united,UNUSED,-1
x-anime-art-x,UNUSED,-1
animecity,UNUSED,-1
animelovers,UNUSED,-1
pokemon-anime-fans,UNUSED,-1
thepokemonguild,UNUSED,-1
pokemon-league9708,UNUSED,-1
pokemon-sonic-club,UNUSED,-1
pokemon-b2w2,UNUSED,-1
fans-of-mewtwo,UNUSED,-1
pokemon-rp-haven,UNUSED,-1
pokemonfurries,UNUSED,-1
pokemoncomicsgalore,UNUSED,-1
pika-people,UNUSED,-1
pkmnmixersclub,UNUSED,-1
pokemon-community,UNUSED,-1
pokemonfever,UNUSED,-1
the-pikaxbun-club,UNUSED,-1
pokemongeneration1,UNUSED,-1
pacshelter,UNUSED,-1
pikaclub,UNUSED,-1
pokemonbreeders,UNUSED,-1
pokewear,UNUSED,-1
fakemoncompany,UNUSED,-1
global-poke-trade,UNUSED,-1
pokemonbases,UNUSED,-1
the-pokecommunity,UNUSED,-1
fakemon-creators,UNUSED,-1
pokemon-fanart,UNUSED,-1
pokemon-generation-v,UNUSED,-1
pokemon-spriters,UNUSED,-1
pikalovers,UNUSED,-1
pokemon102adopt,UNUSED,-1
pokemon-creativity,UNUSED,-1
pokeballz-united,UNUSED,-1
pokemon-gts,UNUSED,-1
pokemonfusiongallery,UNUSED,-1
thepokemonregion,UNUSED,-1
pokemon-rp-stories,UNUSED,-1
all-pokemon-fans,UNUSED,-1
pokemon-rp-saga,UNUSED,-1
pokemonmuseumofart,UNUSED,-1
pokemon-dungeon-club,UNUSED,-1
all-about-pokemon,UNUSED,-1
havaipokemon,UNUSED,-1
pokemon-mysterys,UNUSED,-1
pokemon-tf-project,UNUSED,-1
pokemontfsforever,UNUSED,-1
the-shiny-breeder,UNUSED,-1
all-pokemon-comics,UNUSED,-1
pokedex-collection,UNUSED,-1
homestuck-n-pokemon,UNUSED,-1
everythingpokemans,UNUSED,-1
fakemonuniverse,UNUSED,-1
pokemoninserts,UNUSED,-1
pokeartist-guild,UNUSED,-1
pokemon-xy,UNUSED,-1
betapokemon,UNUSED,-1
pokemon-suomi,UNUSED,-1
sonic-pokemon-fans,UNUSED,-1
pikachuobssessers,UNUSED,-1
just-a-pokemon,UNUSED,-1
pkmn-unite,UNUSED,-1
fakemaniacs,UNUSED,-1
askapokemon,UNUSED,-1
kawaii-pokemon-x3,UNUSED,-1
pokemon-150,UNUSED,-1
allpokemonfansunited,UNUSED,-1
poke-characters,UNUSED,-1
pokeartbeginner,UNUSED,-1
pokemoncardresources,UNUSED,-1
lets-team-up-pokemon,UNUSED,-1
pokemon-federation,UNUSED,-1
souleater-pokemon,UNUSED,-1
pokemon-101,UNUSED,-1
pokemon-heroine-love,UNUSED,-1
pokemon-palooza,UNUSED,-1
pokemon-fakemonart,UNUSED,-1
pokemonlovecraft,UNUSED,-1
pokemon-nightmares,UNUSED,-1
pokemon-literature,UNUSED,-1
lavender-town,UNUSED,-1
pokemonloversforever,UNUSED,-1
my-pokemon,UNUSED,-1
faith-fanclub,UNUSED,-1
pokemon-jli,UNUSED,-1
pokemon-collections,UNUSED,-1
pokemon-request,UNUSED,-1
pokemonsonictower,UNUSED,-1
pokemon-commissions,UNUSED,-1
pokemonranger-fc,UNUSED,-1
pokemon-lostsilver,UNUSED,-1
pokemon-realm,UNUSED,-1
traditional-pokemon,UNUSED,-1
blacknwhite-fanclub,UNUSED,-1
darkrelmpokemon,UNUSED,-1
rosespokemonadopts,UNUSED,-1
pokemonfakes,UNUSED,-1
pokemon-generation,UNUSED,-1
da-mewtwo-department,UNUSED,-1
7genfanclub,UNUSED,-1
pokemon-ultralovers,UNUSED,-1
pkmnsunmoon,UNUSED,-1
gogo-pokemon,UNUSED,-1
pokemon-prime,UNUSED,-1
giftedpokemonartists,UNUSED,-1
firetypepokemonfans,UNUSED,-1
pokemon-battle-club,UNUSED,-1
crliterature,UNUSED,-1
cutecritters,UNUSED,-1
anthro-creation,UNUSED,-1
anthro-gratia-artis,UNUSED,-1
this-undertale,UNUSED,-1
theanimeshow,UNUSED,-1
furries-for-life,UNUSED,-1
artistunityclub,UNUSED,-1
anthro-art-alley,UNUSED,-1
any-oc-stuff,UNUSED,-1
fantastical-oc,UNUSED,-1
quality-anthros,UNUSED,-1
we-love-your-oc,UNUSED,-1
ocsandme,Stories,50989483
oc-creatures-tavern,UNUSED,-1
ocs-forever,Featured 4,43612127
anthro-fans-forever,UNUSED,-1
axls-anthro-gang,UNUSED,-1
scifi-anthro,UNUSED,-1
united-da-artists,Literature,57580726
artistsrevealed,Literature,37780674
fantendoinc,UNUSED,-1
fanart-lovers,UNUSED,-1
da-talent,Featured,25806855
beginners-workshop,Literature,58129257
digital-art-group,UNUSED,-1
artydelights,Featured,24510818
digitalartistsftw,UNUSED,-1
digitall-soul,UNUSED,-1
world-gallery,submit here,46417845
liveyourlifebfree,Literature,39094840
all-deviantarts-art,ASK,-2
deviantartworldwide,Literature NEW,61468628
